,Label,Similar,composition,space_group_symmetry
202,9013763.csv,"['1541749.csv', '9013741.csv', '9013757.csv', '9013748.csv', '9013774.csv', '9013740.csv', '9013742.csv', '9013766.csv', '9013777.csv', '9013773.csv', '9013750.csv', '9013765.csv', '9013760.csv', '9013747.csv', '9013754.csv', '9013770.csv', '9013771.csv', '9013756.csv', '9013745.csv', '9008209.csv', '9013751.csv', '9013776.csv', '1531213.csv', '9013767.csv', '9013772.csv', '9013743.csv', '9013759.csv', '9013749.csv', '9013768.csv', '9013744.csv', '9013753.csv', '9013775.csv', '9013758.csv', '9000176.csv', '9013738.csv', '9013739.csv', '9013769.csv', '9013746.csv', '9013764.csv', '9013761.csv', '9013752.csv', '9013762.csv', '9013755.csv', '1530820.csv']","[nan, nan, 'Al4.39 Fe0.76 Mg0.385 O12 Si1.93 Zn0.015', nan, 'Al4.529 Fe0.654 Mg0.273 O12 Si1.86 Zn0.162', nan, nan, 'Al4.365 Fe0.765 Mg0.425 O12 Si1.92 Zn0.015', nan, nan, nan, nan, nan, nan, 'Al4.529 Fe0.654 Mg0.273 O12 Si1.86 Zn0.162', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Al4.35 Fe0.745 Mg0.42 O12 Si1.93 Zn0.015', nan, nan, nan, 'Al4.467 Fe0.882 Li0.02 Mg0.213 O12 Si1.92', 'Al4.44 Fe0.74 Mg0.347 O12 Si1.92', nan, nan, nan, 'Al4.53 Fe0.768 Li0.1 Mg0.05 O12 Si1.91', 'Al4.507 Fe0.778 Li0.1 Mg0.04 O12 Si1.92', nan, 'Al4.507 Fe0.643 Mg0.285 O12 Si1.87 Zn0.16', nan, nan, 'Al4.492 Fe0.71 Li0.255 Mg0.082 O12 Si1.946', nan, nan, nan]","['C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C c m m', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1']"
203,1527090.csv,,['O5 Ti3'],['C 1 2/m 1']
204,2102491.csv,"['2102492.csv', '7228504.csv']","['H15 O10.5 S', 'H15 O10.5 S', 'H15 O10.5 S']","['I 1 m 1', 'I 1 m 1', 'C 1 m 1']"
205,2104210.csv,,['Ga2 O9 Zn6'],['C m c m']
206,1520772.csv,,['H0.28 Mo O3'],['C m c m']
207,1533437.csv,"['1533443.csv', '1533431.csv', '1533440.csv', '1533434.csv', '1533428.csv']","['Mo O6 Tm2', 'Mo O6 Y2', 'Ho2 Mo O6', 'Mo O6 Yb2', 'Er2 Mo O6', 'Dy2 Mo O6']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1']"
208,1537983.csv,"['9013442.csv', '9013443.csv', '9012124.csv', '9013444.csv']","['O4 Pb3', 'O4 Pb3', 'O4 Pb3', 'O4 Pb3', 'O4 Pb3']","['P 42/m b c', 'P b a m', 'P b a m', 'P 42/m b c', 'P b a m']"
209,1533773.csv,,['Li1.142 Ni0.858 O2'],['R -3 m :H']
210,9001106.csv,,['Ce O6 Ti2'],['I 1 2/a 1']
211,1008697.csv,,['O24 Ti7.24 Zr4.76'],['P b c n']
212,9015303.csv,"['9005758.csv', '1008769.csv', '9005759.csv', '9005765.csv', '9011413.csv', '9005763.csv', '9005764.csv', '1008750.csv', '9005766.csv', '1544906.csv']","['Al O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al H O2', 'Al H O2']","['P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m', 'P b n m']"
213,9013086.csv,,['H2'],['P 63/m m c']
214,8103692.csv,,['Al22.58 O96 Si41.1'],['C m c a']
215,1528143.csv,,['In0.6 Li1.2 O4 V'],['C m c m']
216,1520202.csv,,['Mn O4 W'],['P 1 2/c 1']
217,1545062.csv,['1526624.csv'],"['Bi2 Ce0.1 O9 Si0.286 Sr0.9 Ta1.714', 'Bi2.01 O9 Sr0.9 Ta2']","['A 21 a m', 'A 21 a m']"
218,9007405.csv,,['Bi2 S3'],['P n m a']
219,9000091.csv,['9011015.csv'],"['O5 V2', 'O5 V2']","['C 1 2/m 1', 'C 1 2/m 1']"
220,2103589.csv,"['2103586.csv', '2103588.csv', '2103590.csv', '2103587.csv']","['Mo2 O8 Zr', 'Mo2 O8 Zr', 'Mo2 O8 Zr', 'Mo2 O8 Zr', 'Mo2 O8 Zr']","['C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1']"
221,4126031.csv,,['Bi2.46 Cd1.54 Rb1.53 S6'],['C m c m']
222,9015841.csv,"['9015887.csv', '9015714.csv', '9015568.csv', '9015822.csv', '9016194.csv', '9014934.csv']","['Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O', 'Cu O']","['C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1', 'C 1 2/c 1']"
223,1510552.csv,,['Au5 Cs4.72 O2 Rb2.28'],['I m m m']
224,2106396.csv,,['In S6 Sm3'],['P n n m']
225,1530868.csv,"['9011351.csv', '1537010.csv', '2106472.csv', '1528796.csv']","['Bi2 Mo O6', 'Bi2 Mo O6', 'Bi2 Mo O6', 'Bi2 Mo O6', 'Bi2 Mo O6']","['P c a 21', 'P c a 21', 'C m c a', 'P c a 21', 'P b c a']"
226,2101925.csv,"['2101924.csv', '2101923.csv']","['O3 Ti Y', 'O3 Ti Y', 'O3 Ti Y']","['P n m a', 'P n m a', 'P n m a']"
227,1530565.csv,,['Ce Mo6 S8'],['R -3 :R']
228,4121831.csv,,['C279.84 H22.32 S2 Sc8'],['P 1 21 1']
229,9016634.csv,"['2002264.csv', '9014885.csv', '9015325.csv', '9016072.csv', '9014324.csv']","['Al0.5 Nb0.5 O2', 'Co Nb O4', 'Al0.76 Cr0.24 Nb O4', 'Al0.76 Cr0.24 Nb O4', 'Al0.94 Cr0.06 Nb O4', 'Al0.875 Cr0.125 Nb O4']","['C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1', 'C 1 2/m 1']"
230,1527083.csv,,['Ba0.75 La0.167 S'],['F m -3 m']
231,1010592.csv,"['9016269.csv', '1010952.csv', '1010593.csv', '1010335.csv', '9015896.csv', '1010591.csv', '1010333.csv', '9014236.csv', '1010927.csv', '1010334.csv']","['Er2 O3', 'O3 Tm2', 'O3 Tl2', 'O3 Tm2', 'Ho2 O3', 'Er2 O3', 'Ho2 O3', 'O3 Tm2', 'Ho2 O3', 'O3 Tl2', 'Er2 O3']","['I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3', 'I 21 3']"
232,1001841.csv,,['La3 O8 Re'],"['P 1 21 1 (c,2*a+c,b)']"
233,1539608.csv,,['Bi2 Cu O4'],['P 4/n c c :2']
234,9002160.csv,"['9014880.csv', '1520848.csv', '9002161.csv', '9002162.csv', '9015065.csv', '9000139.csv', '4125730.csv', '1544718.csv', '9015964.csv', '9010915.csv', '9015503.csv', '1520849.csv', '5910082.csv', '2108027.csv', '9016457.csv']","['Fe1.76 H0.06 O3', 'Fe2 O3', 'Fe1.696 O3 Ti0.228', 'Fe1.9 H0.06 O3', 'Fe1.9 H0.06 O3', 'Fe2 O3', 'Fe2 O3', 'Fe Ga O3', 'Ni O3 Ti', 'Fe2 O3', 'Fe O3 Ti', 'Fe2 O3', 'Fe1.886 Mg0.171 O3', 'Fe2 O3', 'Fe2 O3', 'Fe2 O3']","[nan, 'R -3 c :H', 'R -3 c :H', nan, nan, 'R -3 c :H', 'R -3 c :H', nan, 'R -3 :H', 'R -3 c :H', 'R -3 :H', 'R -3 c :H', 'R -3 c :H', 'R -3 c :H', 'C 1 2/c 1', 'R -3 c :H']"
235,1538209.csv,,['Al14.9 Fe2.8 H2 O32 Sn2 Zn1.4'],['R -3 m :H']
236,1532372.csv,"['1531897.csv', '1521324.csv']","['La1.75 Ni O4 Sr0.25', 'Al0.4 La1.6 Mg0.6 O4 Sr0.4', 'La1.67 Ni O4 Sr0.33']","['I 4/m m m', 'I 4/m m m', 'I 4/m m m']"
237,1549993.csv,"['1551024.csv', '1551022.csv', '1551023.csv', '2201757.csv', '1549990.csv']","['Eu0.6 Nb O7 Sm2.4', 'Eu0.9 O7 Sm2.1 Ta', 'Nd3 O7 Ta', 'Nd3 O7 Ta', 'Mo O7 Pr3', 'O7 Sm3 Ta']","['P n m a', 'P n m a', 'P n m a', 'P n m a', 'P 21 21 21', 'P n m a']"
238,1008194.csv,,['Cd Mo3 O16 Y4'],['P n -3 n :2']
239,4002157.csv,"['4002158.csv', '4002160.csv', '4002159.csv']","['Al2.286 O8 Si1.714 Sr1.143', 'Al2.062 O8 Si1.938 Sr1.031', 'Al1.174 O4 Si0.826 Sr0.587', 'Al2.179 O8 Si1.82 Sr1.09']","['P 63/m c m', 'P 63/m c m', 'P 63/m c m', 'P 63/m c m']"
240,9012810.csv,['9012808.csv'],"['Ca4.7 Cl0.4 O12 S1.5 Si1.5', 'Ca4.7 Cl0.4 O12 S1.5 Si1.5']","['P 63/m', 'P 63/m']"
241,1546367.csv,"['1546370.csv', '1546372.csv', '1546369.csv', '4336930.csv', '4336927.csv', '4336933.csv', '4336911.csv', '1527956.csv', '4119597.csv', '4336910.csv', '1546368.csv', '4336929.csv', '4336914.csv', '4336915.csv', '4336932.csv', '4336928.csv', '7221504.csv', '4336934.csv', '1536897.csv', '1534516.csv', '4336923.csv', '4336913.csv', '1546371.csv', '4336925.csv', '4336931.csv', '4119596.csv', '4336912.csv', '1008192.csv', '4336924.csv', '4336926.csv', '1008181.csv', '1546365.csv']","['Ca0.6 Cu3 Fe4 O12 Sr0.4', 'Ca0.4 Cu3 Fe4 O12 Sr0.6', 'Ca0.2 Cu3 Fe4 O12 Sr0.8', 'Ca0.4 Cu3 Fe4 O12 Sr0.6', 'Cu3 Fe4 Ho O12', 'Cu3 Fe4 Gd O12', 'Cu3 Fe4 O12 Yb', 'Cu3 Fe4 Nd O12', 'Ca0.5 Cu1.5 O6 Ti2', 'Cu3 Fe4 O12 Y', 'Cu3 Fe4 O12 Pr', 'Ca0.6 Cu3 Fe4 O12 Sr0.4', 'Cu3 Dy Fe4 O12', 'Cu3 Fe4 Gd O12', 'Cu3 Fe4 O12 Tb', 'Cu3 Fe4 O12 Tm', 'Cu3 Fe4 O12 Tb', 'Cu2.856 Mn4.144 O12 Th', 'Cu3 Fe4 Lu O12', 'Cd Cu3 O12 Ti4', 'Cu2.68 Mn4.32 Nd O12', 'Cu3 Fe4 O12 Pr', 'Cu3 Eu Fe4 O12', 'Ca0.2 Cu3 Fe4 O12 Sr0.8', 'Cu3 Fe4 O12 Sm', 'Cu3 Er Fe4 O12', 'Cu3 Fe4 O12 Y', 'Cu3 Fe4 O12 Sm', 'Cu3 Mn4 O12 Th', 'Cu3 Fe4 Nd O12', 'Cu3 Eu Fe4 O12', 'Cu3 O12 Tb0.71 Ti4', 'Ca0.8 Cu3 Fe4 O12 Sr0.2']","['I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3', 'I m -3']"
242,4030698.csv,,['Bi3 Cr2 H O11'],['P 1 21/a 1']
243,2103544.csv,"['2103504.csv', '2103513.csv', '2103505.csv', '2103507.csv', '2103510.csv', '2103508.csv', '2103514.csv', '2103511.csv', '2103506.csv', '2103503.csv', '2103509.csv', '2103512.csv', '2103543.csv', '2103545.csv']","['Ga5.5 La3 Nb0.5 O14', 'Ga5.54 La3 O14 Ta0.46', 'Ga5.54 La3 O14 Ta0.46', 'Ga5.54 La3 O14 Ta0.46', 'Ga11 La6 O28 Ta', 'Ga5.5 La3 Nb0.5 O14', 'Ga5.54 La3 O14 Ta0.46', 'Ga5.54 La3 O14 Ta0.46', 'Ga5.5 La3 Nb0.5 O14', 'Ga5.5 La3 Nb0.5 O14', 'Ga11 La6 O28 Ta', 'Ga5.54 La3 O14 Ta0.46', 'Ga11 La6 O28 Ta', 'Ga5.54 La3 O14 Ta0.46', 'Ga5.5 La3 Nb0.5 O14']","['P 3 2 1', 'P 3 2 1', 'P 3 2 1', 'P 3 2 1', 'A 1 2 1', 'P 3 2 1', 'P 3 2 1', 'P 3 2 1', 'P 3 2 1', 'P 3 2 1', 'A 1 2 1', 'P 3 2 1', 'A 1 2 1', 'P 3 2 1', 'P 3 2 1']"
244,9012530.csv,['2310656.csv'],"['Hg O', 'Hg O']","['P n m a', 'I m m 2']"
245,8103040.csv,['4342600.csv'],"['Al1.6 Bi2 Ga2.4 O9', 'Al2 Bi2 Ga2 O9']","['P b a m', 'P b a m']"
246,2002704.csv,['2002592.csv'],"['Cu Eu Mo2 O8', 'Cu Mo2 O8 Sm']","['P b c a', 'P b c a']"
247,9010972.csv,,['O2 S'],['A b a 2']
248,4002279.csv,"['2106670.csv', '4002278.csv']","['Cr0.943 S2 V0.427', 'Co0.25 S2 Ti', 'Cr0.986 S2 V0.336']","['P -3 1 c', 'C 1 2/m 1', 'R -3 :H']"
249,1540331.csv,,['Cd0.88 Nb6 O16'],['P m m a']
250,1524706.csv,,['Co2 S2 Tl'],['I 4/m m m']
251,1536626.csv,,['Lu2 S3'],['F d d d :2']
252,1001082.csv,,['K0.85 Nb1.15 O5 Ti0.85'],['P n m a']
253,4510896.csv,,['C23.5 H34.5 N2.5 O'],['P 21 21 21']
254,4105682.csv,,['Cu O'],['C 1 2/c 1']
255,9010316.csv,"['9010440.csv', '9010315.csv', '9010322.csv', '9010310.csv', '9010448.csv', '9010312.csv', '9010441.csv', '9010317.csv', '9010313.csv', '9010308.csv', '9010311.csv', '9010314.csv', '9010318.csv', '9010321.csv', '9010319.csv', '9007015.csv', '9010320.csv', '9010439.csv', '9010307.csv', '9007284.csv', '9007285.csv', '9010449.csv', '9010309.csv', '9010447.csv']","['Fe2.79 H6.13 K0.87 O14 S2', 'Fe3 H6 K0.6 Na0.4 O14 S2', 'Fe3 H6.05 K0.95 O14 S2', 'Fe3 H6.65 K0.35 O14 S2', 'Fe3 H6.65 K0.35 O14 S2', 'Fe3 H6.65 Na0.35 O14 S2', 'Fe3 H6.4 K0.6 O14 S2', 'Fe3 H6 K0.52 Na0.46 O14 S2', 'Fe3 H7 K0.02 O14 S2', 'Fe3 H6.3 K0.7 O14 S2', 'Fe3 H6.86 K0.1 O14 S2', 'Fe3 H6.49 K0.51 O14 S2', 'Fe3 H6.14 K0.86 O14 S2', 'Fe2.73 H6.16 K0.84 O14 S2', 'Fe3 H6.81 K0.2 O14 S2', 'Fe3 H6.92 O14 S2', 'Fe2.88 H5.83 K0.81 O13.64 S2', 'Fe3 H6.86 K0.1 O14 S2', 'Fe3 H6 K0.76 Na0.24 O14 S2', 'Fe3 H6.92 O14 S2', 'Fe2.919 H6 O14.905 S2', 'Fe3 H9 O15 S2', 'Fe3 H6.76 Na0.24 O14 S2', 'Fe3 H6.81 K0.2 O14 S2', 'Fe3 H6.51 Na0.49 O14 S2']","['R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H', 'R -3 m :H']"
256,7223690.csv,,['Ce O4 V'],['P 1 21/n 1']
257,1538008.csv,"['9008719.csv', '9008632.csv', '8104348.csv', '1010444.csv', '1010394.csv']","['S Sm', 'S Sm', 'Eu S', 'Eu S', 'Eu S', 'Eu S']","['F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m']"
258,1531242.csv,,['Fe32 O2 Y12'],['I m -3 m']
259,7227771.csv,,['O10 Pr2 S'],['C 1 2/m 1']
260,9004749.csv,"['2102845.csv', '1508974.csv', '1521529.csv', '2002248.csv', '2310812.csv', '1544427.csv', '9009008.csv', '9009023.csv', '1533607.csv', '2310813.csv', '7217887.csv', '9000107.csv', '9008255.csv', '9004745.csv', '9009040.csv', '1539350.csv', '9009049.csv', '1541649.csv', '9009009.csv', '1541651.csv', '2310339.csv', '1541648.csv', '9010452.csv', '2310814.csv', '2105813.csv', '1100043.csv', '9004129.csv', '9014376.csv', '1509114.csv', '9016290.csv', '9004746.csv', '9008045.csv', '2102844.csv', '4345564.csv', '1538617.csv', '9004747.csv', '1538052.csv', '1541458.csv', '9004748.csv', '1011151.csv', '1537779.csv', '4328658.csv', '1541650.csv', '1541447.csv', '9000085.csv', '1541665.csv', '9009036.csv', '9009031.csv', '4343161.csv', '1528252.csv', '9000086.csv', '1532039.csv', '1541647.csv', '2310815.csv', '1539414.csv', '1541646.csv', '1010382.csv', '1101050.csv', '1539084.csv', '1525997.csv', '9004130.csv', '2106162.csv', '1011232.csv', '1541570.csv', '1550125.csv', '9004128.csv', '9008998.csv', '9004979.csv', '1525302.csv', '1541645.csv', '1526187.csv', '9010451.csv', '1523192.csv', '1011233.csv', '1524037.csv', '1538930.csv', '9004750.csv', '1530856.csv', '4328659.csv', '9009025.csv', '9010450.csv', '1530051.csv']","['Cu2 Fe0.2 S4 Sn Zn0.8', 'Ce0.5 O2 Zr0.5', 'Ag0.08 Ga0.08 S Zn0.84', 'Cu2 Fe S4 Sn', 'La2 O7 Zr2', 'S Zn', 'Ce2 O7 Zr2', 'Ce O2', 'H2 Nd', 'Co Cu2 S4 Sn', 'S Zn', 'Ce O2', 'S Zn', 'Cu8 Fe2.15 S12 Sn2 Zn0.85', 'Cu2 Fe S4 Sn', 'H2 Sm', 'Ni0.12 S4 Zn3.88', 'O2 U', 'Ce0.05 O2 U0.95', 'Cm O2', 'O2 Th0.11 U0.89', 'O9 U4', 'Ce0.21 O2 U0.79', 'Fe0.61 Mn0.04 S Zn0.35', 'S Zn', 'Cu2 S4 Sn Zn', 'S Zn', 'Cd0.02 Cu2 Fe0.8 S4 Sn Zn0.18', 'Ca0.53 O2 U0.47', 'Ag0.08 Al0.08 S Zn0.84', 'Cd0.002 Cu0.005 Fe0.023 In0.002 S Zn0.968', 'Cu2 Fe0.8 S4 Sn Zn0.2', 'Cu2 Fe S4 Sn', 'Ce0.5 O2 Zr0.5', 'Cu1.646 Li0.354 S4 Sn Zn', 'S Zn', 'Cu2 Fe0.5 S4 Sn Zn0.5', 'Ge1.332 S4 Zn2.668', 'O2 Pr', 'Cu2 Fe0.3 S4 Sn Zn0.7', 'Cu2 Fe S4 Sn', 'O2 Pr', 'Cu2 S4 Sn Zn', 'O2 Th0.05 U0.95', 'O9 U4', 'S5 Zn5', 'O2 U', 'O2 Pu', 'O2 Pr', 'Ce O2', 'Ga0.091 S Zn0.864', 'S Zn', 'Cu0.285 In0.285 S Zn0.43', 'Ce0.32 O2 U0.68', 'S Zn', 'S Zn', 'Ce0.5 O2 U0.5', 'O Pb2', 'S Zn', 'Gd O', 'Cu1.86 Fe0.8 S4 Sn0.97', 'Cd0.37 Cu2 Fe0.29 Mn0.01 S4 Sn Zn0.33', 'Cu0.25 In0.25 S Zn0.5', 'Fe0.27 S Zn0.73', 'Ce0.405 O2 U0.595', 'Cu2 S4 Sn Zn', 'Cd0.01 Cu2 Fe0.28 S4 Sn Zn0.71', 'Am O2', 'Ag Fe S2', 'Fe0.2 Mn0.05 S Zn0.75', 'Ce0.66 O2 U0.34', 'Cu2 S3 Sn', 'Fe0.61 Mn0.04 S Zn0.35', 'O2 Pr', 'Fe0.34 S Zn0.66', 'Bi0.25 Er0.0832 O3', 'H2 Nd', 'Cu2 S4 Sn Zn', 'Cd0.37 Cu2 Fe0.29 S4 Sn Zn0.33', 'Cu1.885 S4 Sn Zn1.058', 'Np O2', 'Fe0.61 Mn0.04 S Zn0.35', 'Cu1.98 Fe0.28 S4 Sn0.99 Zn0.72']","['I -4 2 m', 'F m -3 m', 'F -4 3 m', 'P -4', 'F d -3 m :1', 'P 63 m c', 'F d -3 m :1', 'F m -3 m', 'F m -3 m', 'I -4 2 m', 'R 3 m :H', 'P 1', 'F -4 3 m', 'I 2 2 2', 'I -4 2 m', 'F m -3 m', 'F -4 3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'I -4 3 d', 'F m -3 m', 'F -4 3 m', 'R 3 m :H', 'I -4 2 m', 'F -4 3 m', 'I -4 2 m', 'F m -3 m', 'F -4 3 m', 'F -4 3 m', 'I -4 2 m', 'I -4 2 m', 'P 42/n m c :1', 'I -4', 'F -4 3 m', 'I -4 2 m', 'F -4 3 m', 'F m -3 m', 'I -4 2 m', 'I -4 2 m', 'F m -3 m', 'I -4', 'F m -3 m', 'I -4 3 d', 'P 63 m c', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F m -3 m', 'F -4 3 m', 'P 63 m c', 'F -4 3 m', 'F m -3 m', 'P 3 m 1', 'F -4 3 m', 'F m -3 m', 'P n -3 :1', 'F -4 3 m', 'F -4 3 m', 'P -4 3 m', 'I -4 2 m', 'F -4 3 m', 'F -4 3 m', 'F m -3 m', 'I -4 2 m', 'I -4', 'F m -3 m', 'I -4 2 d', 'F -4 3 m', 'F m -3 m', 'C 1 c 1', 'F -4 3 m', 'F m -3 m', 'F -4 3 m', 'F m -3 m', 'F m -3 m', 'I -4 2 m', 'I -4 2 m', 'I -4', 'F m -3 m', 'F -4 3 m', 'I -4']"
261,7014919.csv,,['C98.55 H85.82 Mn6 N13.27 O18'],['P 1 21/n 1']
262,9014550.csv,"['9016528.csv', '7221276.csv']","['Ba0.5 La0.5 O3 Ru0.5 Zn0.5', 'Ba0.5 La0.5 O3 Ru0.5 Zn0.5', 'In La1.2 Mn O6 Sr0.8']","['I 1 2/c 1', 'I 1 2/c 1', 'P n m a']"
263,9014139.csv,['1001289.csv'],"['Li0.4 Mg0.4 O2 Sn0.7', 'Li1.6 Mg1.6 O8 Sn2.8']","['P 63 m c', 'P 63 m c']"
264,9000615.csv,,['S2 Sn'],['P -3 m 1']
265,9015891.csv,"['9009101.csv', '1010267.csv']","['Co O2', 'Co H2 O2', 'Co H2 O2']","['P -3 m 1', 'P -3 m 1', nan]"
266,2104382.csv,"['1001186.csv', '2104381.csv', '2300499.csv', '2300498.csv', '2104383.csv', '2104385.csv', '1521246.csv', '2104388.csv', '2310808.csv', '2104294.csv', '2104384.csv', '2104293.csv']","['K0.3 Na0.7 Nb O3', 'Ca0.91 O3 Ta0.84', 'K0.3 Na0.7 Nb O3', 'K0.5 Na0.5 Nb O3', 'K0.5 Na0.5 Nb O3', 'K0.3 Na0.7 Nb O3', 'K0.3 Na0.7 Nb O3', 'Na0.6 O3 Sr0.4 Ta', 'K0.3 Na0.7 Nb O3', 'K0.65 Na0.35 Nb O3', 'K0.3 Na0.7 Nb O3', 'K0.3 Na0.7 Nb O3', 'K0.3 Na0.7 Nb O3']","['R 3 c :H', 'P m -3 m', 'R 3 c :H', 'A m m 2', 'R 3 m :H', 'R 3 c :H', 'R 3 c :H', 'P m -3 m', 'P 1 m 1', 'P 1 m 1', 'P 4 m m', 'R 3 c :H', 'P 1 m 1']"
267,1525624.csv,"['1525625.csv', '1525626.csv', '1525627.csv']","['Bi1.1 Mo O6 Sb0.9', 'Bi2 Mo O6', 'Bi1.55 Mo O6 Sb0.45', 'As0.35 Bi1.65 Mo O6']","['P 1 21/c 1', 'P 1 21/c 1', 'P 1 21/c 1', 'P 1 21/c 1']"
268,1525763.csv,['1527731.csv'],"['H8 Np O12 S2', 'Ce H8 O12 S2']","['P n m a', nan]"
269,9001919.csv,,['Fe2.45 O4 Si0.55'],['I m m a']
270,1006019.csv,"['1006014.csv', '1006020.csv', '1006022.csv', '2002200.csv', '1535081.csv', '1006021.csv', '1006017.csv', '1535085.csv', '1006016.csv', '2101455.csv', '2101454.csv', '1006015.csv', '1006013.csv', '1006018.csv']","['Ce0.2 Cu Nd1.8 O4', 'Ce0.05 Cu Nd1.95 O4', 'Ce0.2 Cu Nd1.8 O4', 'Ce0.3 Cu Nd1.7 O4', 'Cu Nd2 O4', 'Cu In2 O4', 'Ce0.3 Cu Nd1.7 O4', 'Ce0.1 Cu Nd1.9 O4', 'Ce0.13 Cu Nd1.87 O4', 'Ce0.1 Cu Nd1.9 O4', 'Cu Nd2 O4', 'Cu Nd2 O4', 'Ce0.05 Cu Nd1.95 O4', 'Ce0.15 Cu Nd1.85 O4', 'Ce0.15 Cu Nd1.85 O4']","['I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m', 'I 4/m m m']"
271,2002746.csv,"['2002705.csv', '2002593.csv', '2002701.csv']","['Cu Dy Mo2 O8', 'Cu Ho Mo2 O8', 'Cu Gd Mo2 O8', 'Cu Mo2 O8 Tb']","['P b c a', 'P b c a', 'P b c a', 'P b c a']"
272,7033691.csv,['1533637.csv'],"['La O4 Ta', 'La O4 Ta']","['C m c 21', 'C m c 21']"
273,2006191.csv,,['Cu O4 Rh2'],['I 41/a m d :2']
274,1008831.csv,,['Nd4 O11 Re2'],['P 42/n :2']
275,1006026.csv,"['1006011.csv', '1006025.csv']","['Nd2 Ni O4', 'Nd2 Ni O4', 'Nd2 Ni O4']","['B m a b', 'B m a b', 'B m a b']"
276,1537225.csv,['1524322.csv'],"['S2 Sn Ta', 'S2 Sn Ta']","['P 63/m m c', 'P 63/m m c']"
277,1530463.csv,['1530464.csv'],"['H3 In0.75 Lu0.25 O3', 'H3 In0.75 O3 Y0.25']","['I m -3', 'I m -3']"
278,1529666.csv,['1529698.csv'],"['Al11 K1.58 O17', 'Al10.33 K1.67 Mg0.67 O17']","['R -3 m :H', 'R -3 m :H']"
279,9015653.csv,['9016563.csv'],"['Cr2 O3', 'Cr2 O3']","[nan, nan]"
